bairro,cases
FIGUEIRÊDO,20
CATOLÉ,251
MALVINAS,251
VILA CABRAL,42
NOVA BRASÍLIA,97
TRÊS IRMÃS,136
QUARENTA,60
MÉDICI,62
CENTRO,149
RAMADINHA,32
CIDADES,39
VELAME,58
JARDIM PAULISTANO,82
ESTAÇÃO VELHA,16
JARDIM TAVARES,29
JARDIM CONTINENTAL,20
CRUZEIRO,135
SANTA CRUZ,40
NAÇÕES,12
CUITÉS,19
DISTRITO INDUSTRIAL,15
ITARARÉ,25
SANTO ANTÔNIO,66
SANDRA CAVALCANTE,45
TAMBOR,33
MIRANTE,26
DINAMÉRICA,44
SANTA ROSA,112
LIBERDADE,201
CENTENÁRIO,61
SÃO JOSÉ,88
PEDREGAL,66
JOSÉ PINHEIRO,186
MONTE CASTELO,102
BELA VISTA,48
PRATA,33
LAURITZEN,16
CASTELO BRANCO,17
CONCEIÇÃO,34
MONTE SANTO,85
BODOCONGÓ,156
PALMEIRA,68
UNIVERSITÁRIO,22
SERROTÃO,83
JEREMIAS,92
LOUZEIRO,2
ARAXÁ,20
ALTO BRANCO,146
NOVO BODOCONGÓ,8
